# fa-paper watch manifest — TAB-separated: corpus <TAB> absolute-path <TAB> nice name
# Paths are under /Users/esaruoho/work so they are identical on laptop and Mini
# (Mini needs merlib-dump synced there before it can watch these). Edit a paper -> wiki updates, zero-token.
papers	/Users/esaruoho/work/merlib-dump/articles/esa-ruoho-variable-reactance-paper0-considered-constant-v0-outline.md	VR0 Considered Constant
papers	/Users/esaruoho/work/merlib-dump/articles/esa-ruoho-variable-reactance-magnetic-systems-v6.md	VR1 Variable Reactance in Magnetic Systems
papers	/Users/esaruoho/work/merlib-dump/articles/esa-ruoho-variable-reactance-paper1A-manley-rowe-autoparametric-foundation-v1-draft.md	VR1A Manley-Rowe Autoparametric Foundation
papers	/Users/esaruoho/work/merlib-dump/articles/esa-ruoho-variable-reactance-pedagogical-gap-v4.md	VR1S Parametric Voltage Pedagogical Gap
papers	/Users/esaruoho/work/merlib-dump/articles/_scaffold-esa-ruoho-variable-reactance-paper2-calorimetric-outline.md	VR2 Calorimetric Back-Torque (outline)
papers	/Users/esaruoho/work/merlib-dump/articles/_scaffold-esa-ruoho-variable-reactance-paper3-lenz-bypass-outline.md	VR3 Lenz Bypass Flux-Switching (outline)
papers	/Users/esaruoho/work/merlib-dump/articles/esa-ruoho-variable-reactance-paper4-kron-tensor-network-bridge-v5-draft.md	VR4 Kron Tensor-Network Bridge
papers	/Users/esaruoho/work/merlib-dump/articles/esa-ruoho-variable-reactance-paper5-kron-cartan-torsion-thesis-v3-draft.md	VR5 Kron Cartan Torsion Thesis
papers	/Users/esaruoho/work/merlib-dump/articles/esa-ruoho-variable-reactance-paper5b-nonmetricity-channel-stegr-v1-draft.md	VR5b Nonmetricity STEGR Channel
papers	/Users/esaruoho/work/merlib-dump/articles/esa-ruoho-variable-reactance-paper6-bilateral-capacitive-electret-taxonomy-v1-draft.md	VR6 Bilateral Capacitive Electret Taxonomy
papers	/Users/esaruoho/work/merlib-dump/articles/ruoho-2026-eclipse-gravity-data-only-paper-A-v3.md	Gravity Paper A (Eclipse Data-Only)
papers	/Users/esaruoho/work/merlib-dump/articles/ruoho-iyer-grotz-2026-eclipse-gravity-paper-B-v19.md	Gravity Paper B (SVT + Sankhya)
papers	/Users/esaruoho/work/merlib-dump/articles/ruoho-fluid-dynamics-paper-waterjournal-formatted-v1.md	Fluid Dynamics Paper (Schauberger/Vortex)
